iteration,best_fitness,mean_fitness,min_fitness_current,eval_time,update_time,overhead_time,worker_time_total,critical_path_time,tasks_submitted,total_iter_time,gbest_improved,previous_gbest,total_run_time
0,33.06045797490424,88.04626009057165,33.06045797490424,0.000673100003041327,1.00000761449337e-07,0.000202999945031479,0.00044630005140788853,0.00044630005140788853,40,0.0006732000038027763,True,inf,
1,18.35812906154612,45.32700895677196,18.35812906154612,0.00021100000594742596,0.00044659999548457563,6.849996862001717e-05,0.00012510002125054598,0.00012510002125054598,40,0.0006906000198796391,True,33.06045797490424,
2,11.91099984299874,40.994073124868805,11.91099984299874,0.0001998000079765916,0.0002644999767653644,6.570000550709665e-05,0.00011940000695176423,0.00011940000695176423,40,0.00048359998618252575,True,18.35812906154612,
3,4.8898366482997595,31.85343462586723,4.8898366482997595,0.00021070000366307795,0.00025599999935366213,6.710004527121782e-05,0.0001285999605897814,0.0001285999605897814,40,0.00048669998068362474,True,11.91099984299874,
4,4.8898366482997595,22.625847407679515,7.523892281792988,0.00020340000628493726,0.00027619997854344547,6.779999239370227e-05,0.00012020001304335892,0.00012020001304335892,40,0.0004995999915990978,False,4.8898366482997595,
5,4.8898366482997595,16.330402401997834,5.25887631962596,0.0002038999809883535,0.0002488000027369708,7.189999450929463e-05,0.00011860000086016953,0.00011860000086016953,40,0.00047030000132508576,False,4.8898366482997595,
6,4.440131715042673,14.187371479380207,4.440131715042673,0.0005358000053092837,0.000695699971402064,0.00019810002413578331,0.0003008999628946185,0.0003008999628946185,40,0.0012796999944839627,True,4.8898366482997595,
7,3.1552312155218303,11.232837284292277,3.1552312155218303,0.00020569999469444156,0.0006098000158090144,6.820002454333007e-05,0.00012149999383836985,0.00012149999383836985,40,0.0008372000011149794,True,4.440131715042673,
8,1.0279021516976539,10.007337863628821,1.0279021516976539,0.0001967000134754926,0.00026519998209550977,6.480002775788307e-05,0.0001183999702334404,0.0001183999702334404,40,0.0004794000124093145,True,3.1552312155218303,
9,0.9671765075756266,7.343243241227452,0.9671765075756266,0.00019790002261288464,0.00026160001289099455,6.67999847792089e-05,0.00011780002387240529,0.00011780002387240529,40,0.0004757000133395195,True,1.0279021516976539,
10,0.7350783950110392,6.999445626604631,0.7350783950110392,0.00019130000146105886,0.0002555999963078648,6.339987157844007e-05,0.00011510011972859502,0.00011510011972859502,40,0.0004634000069927424,True,0.9671765075756266,
11,0.7350783950110392,5.565506221640406,0.9919440964456869,0.0001947999990079552,0.0002513999934308231,6.440008291974664e-05,0.00011729990364983678,0.00011729990364983678,40,0.00046109998947940767,False,0.7350783950110392,
12,0.7350783950110392,5.0624324647077,1.1914119665535807,0.00019200000679120421,0.0002447000006213784,6.379993283189833e-05,0.00011650007218122482,0.00011650007218122482,40,0.00045950000640004873,False,0.7350783950110392,
13,0.7350783950110392,4.243663563084087,0.9269581129968809,0.00019160000374540687,0.00024670001585036516,6.280004163272679e-05,0.00011719996109604836,0.00011719996109604836,40,0.0004503000236582011,False,0.7350783950110392,
14,0.7350783950110392,3.5836585138356667,0.8611610873219441,0.00019260001135990024,0.00024399999529123306,6.389993359334767e-05,0.00011740007903426886,0.00011740007903426886,40,0.0004487000114750117,False,0.7350783950110392,
15,0.3861897581020162,3.27170809208801,0.3861897581020162,0.0001976999919861555,0.00025519999326206744,6.549994577653706e-05,0.00012070004595443606,0.00012070004595443606,40,0.000467699981527403,True,0.7350783950110392,
16,0.3861897581020162,3.3248263054405713,0.5828285585383086,0.0002023999986704439,0.00025409998488612473,6.630001007579267e-05,0.00012360000982880592,0.00012360000982880592,40,0.00047289999201893806,False,0.3861897581020162,
17,0.3861897581020162,2.530957688562106,0.3878956532078801,0.00020790001144632697,0.0005501999985426664,6.880000000819564e-05,0.00012489999062381685,0.00012489999062381685,40,0.0007739000138826668,False,0.3861897581020162,
18,0.21498104919032499,2.5019562378004983,0.21498104919032499,0.00019719998817890882,0.0003288000007160008,6.430005305446684e-05,0.00012009995407424867,0.00012009995407424867,40,0.0005399000074248761,True,0.3861897581020162,
